상품명,최초 발급일자,개인사업자/법인사업자,대위변제금액(보증이행),주택형태,
임대보증금보증(세대_사용검사후),2024-01-09,법인사업자,170500000,아파트,
임대보증금보증(세대_사용검사후),2024-01-15,법인사업자,181000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-11-01,법인사업자,187230000,아파트,
임대보증금보증(세대_사용검사후),2024-03-27,법인사업자,81100000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-12-08,법인사업자,140000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-02,법인사업자,187230000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2025-04-25,법인사업자,177000000,아파트,
임대보증금보증(세대_사용검사후),2023-06-01,법인사업자,218610000,다가구주택,
임대보증금보증(세대_사용검사후),2024-10-30,법인사업자,178000000,아파트,
임대보증금보증(세대_사용검사후),2024-12-31,법인사업자,183300000,아파트,
임대보증금보증(세대_사용검사후),2024-12-27,법인사업자,132600000,아파트,
임대보증금보증(세대_사용검사후),2024-04-18,법인사업자,130000000,아파트,
임대보증금보증(세대_사용검사후),2024-12-31,법인사업자,140000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-03-13,법인사업자,178400000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-23,법인사업자,25618025,아파트,
임대보증금보증(세대_사용검사후),2023-09-19,법인사업자,189000000,아파트,
임대보증금보증(세대_사용검사후),2024-01-09,법인사업자,253000000,아파트,
임대보증금보증(세대_사용검사후),2024-09-20,법인사업자,23406241,아파트,
임대보증금보증(세대_사용검사후),2024-05-29,법인사업자,160800000,아파트,
임대보증금보증(세대_사용검사후),2023-06-05,법인사업자,225000000,다세대주택,
임대보증금보증(세대_사용검사후),2024-10-16,법인사업자,62400000,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,186000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-17,법인사업자,180000000,아파트,
임대보증금보증(세대_사용검사후),2024-03-29,법인사업자,228020000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-09-20,법인사업자,247500000,아파트,
임대보증금보증(세대_사용검사후),2024-05-31,법인사업자,7091741,아파트,
임대보증금보증(세대_사용검사후),2024-05-14,법인사업자,68000000,아파트,
임대보증금보증(세대_사용검사후),2024-06-10,법인사업자,181000000,아파트,
임대보증금보증(세대_사용검사후),2025-03-04,법인사업자,150000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-02-26,법인사업자,181400000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-07-31,법인사업자,249500000,아파트,
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,187230000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-04-18,법인사업자,108000000,기타(오피스텔),
임대보증금보증(세대_사용검사후),2023-10-06,법인사업자,160000000,다세대주택,
임대보증금보증(세대_사용검사후),2023-12-13,법인사업자,189400000,아파트,
임대보증금보증(세대_사용검사후),2023-07-14,법인사업자,110000000,아파트,
임대보증금보증(세대_사용검사후),2024-11-29,법인사업자,56836500,아파트,
임대보증금보증(세대_사용검사후),2024-02-22,법인사업자,175000000,아파트,
임대보증금보증(세대_사용검사후),2025-03-04,법인사업자,57526500,기타(오피스텔),
임대보증금보증(세대_사용검사후),2024-01-12,법인사업자,120000000,아파트,
임대보증금보증(세대_사용검사후),2023-10-18,법인사업자,183000000,아파트,
